Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C16, C3, C31, C32, C4, C8, C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10,0.1u,
"C10, C13, C19, C2, C20, C21, C22, C30, C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,9,10u,
"C14, C18, C23, C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,1u,
"C15, C17",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,4u7,
"C24, C25, C26, C27",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,~,
"C28, C29",JZ300,2,~,
C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,22u,
D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,Status,
"D10, D7, D8, D9",D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4,~,
D2,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,LED_ValidSource,
D3,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,LED_Charging,
D4,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,LOW_BATTERY,
D5,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,3.3V,
D6,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,3.3VA,
"H1, H2, H3, H4",MountingHole_2.7mm_Pad_TopBottom,4,MountingHole,
IC1,USBLC6-2SC6,1,USBLC6-2SC6,
"IC10, IC9",DAC5571IDBVR,2,DAC5571IDBVR,
IC2,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N16,
IC3,MAX17048G+T10,1,MAX17048G+T10,
IC4,BQ24074RGTR,1,BQ24074RGTR,
IC5,LM4041CEM3-ADJ_NOPB,1,LM4041CEM3-ADJ_NOPB,
"IC6, IC7",MCP6S91-E_MS,2,MCP6S91-E_MS,
IC8,MCP4726A1T-E_CH,1,MCP4726A0T-E_CH,
J1,725996-2,1,PWM,
J2,PinHeader_1x04_P2.54mm_Vertical,1,UART0,
"J3, J4",73100-0105,2,~,
JP1,PinHeader_1x03_P2.54mm_Vertical,1,Power_Select,
"K1, K2",AQY210EHAX,2,AQY210EHAX,
"R1, R2, R3",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3,5k1,
"R10, R16",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,1k,
R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,820,
"R12, R13, R14, R18, R19, R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,6,1k5,
R15,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,3k3,
R17,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,330,
"R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,12,~,
"R4, R5",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,6k8,
"R6, R7",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,470,
R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,10k,
SW1,SW_TS-1187A-B-A-B,1,Reset,
SW2,SW_TS-1187A-B-A-B,1,Button,
SW3,25136NAH6,1,SW_DPDT_x2,
TP1,TestPoint_Keystone_5000-5004_Miniature,1,VBat,
TP2,TestPoint_Keystone_5000-5004_Miniature,1,VBatChargeIC,
TP3,TestPoint_Keystone_5000-5004_Miniature,1,3.3V,
TP4,TestPoint_Keystone_5000-5004_Miniature,1,3.3VA,
TP5,TestPoint_Keystone_5000-5004_Miniature,1,GNDREF,
"TP6, TP7, TP8, TP9",TestPoint_Keystone_5000-5004_Miniature,4,~,
U1,USB-TYPE-C-018,1,USB-C_SMD-TYPE-C-31-M-12,C2927038
"U10, U8, U9",MCP6022T-I_SN,3,MCP6022T-I_SN,
"U2, U3",ADC08351CILQX,2,ADC08351CILQX/NOPB,
"U4, U5",1043,2,1043,
"U6, U7",TO-252-2,2,LD1086DT33TR,
