Designator,Mid X,Mid Y,Rotation,Layer
C1,63.25,-44.4625,-90.0,top
C10,62.5,-24.299999,-90.0,top
C11,67.737502,-19.8,0.0,top
C12,67.737502,-21.8,0.0,top
C13,67.737502,-23.8,0.0,top
C14,17.69875,-29.41125,90.0,top
C15,22.39125,-38.14125,-90.0,top
C16,26.857989,-36.31625,90.0,top
C17,22.41125,-29.41125,90.0,top
C18,26.7625,-20.45,180.0,top
C19,13.175,-14.525,90.0,top
C2,65.25,-44.4625,-90.0,top
C20,48.775,-4.525,90.0,top
C21,17.175,-9.525,180.0,top
C22,63.25,-2.5,0.0,top
C23,87.75,-19.75,180.0,top
C24,86.5,-8.5,0.0,top
C25,89.5,-28.5,0.0,top
C26,84.5,-15.5,90.0,top
C27,84.5,-35.2125,90.0,top
C28,91.5,-8.5,90.0,top
C29,91.575,-34.5,90.0,top
C3,68.2875,-44.0,0.0,top
C4,68.2875,-42.0,0.0,top
C5,68.2875,-40.0,0.0,top
C6,6.0,-34.5,180.0,top
C7,56.75,-44.5,-90.0,top
C8,58.75,-44.5375,-90.0,top
C9,64.5,-24.299999,-90.0,top
D1,39.495,-2.52,-90.0,top
D10,79.7375,-33.225,90.0,top
D2,29.0,-2.475,-90.0,top
D3,32.5,-2.5,-90.0,top
D4,36.0,-2.5,-90.0,top
D5,25.5,-2.5,-90.0,top
D6,43.0,-2.525,-90.0,top
D7,79.5,-17.5,90.0,top
D8,79.5,-13.5,90.0,top
D9,79.75,-37.2125,90.0,top
IC1,11.5,-24.0,180.0,top
IC2,43.0,-31.75,180.0,top
IC3,29.912989,-36.41125,0.0,top
IC4,21.41125,-33.66125,90.0,top
IC5,26.725,-25.45,-90.0,top
IC6,68.788,-10.675,180.0,top
IC7,69.212,-30.95,180.0,top
IC8,68.0,-15.0,0.0,top
IC9,68.5,-35.0,0.0,top
J1,99.0,-24.0,0.0,bottom
J2,86.8,-44.5,90.0,bottom
J3,113.4625,-11.0,-90.0,bottom
J4,113.4625,-37.0,-90.0,bottom
JP1,10.975,-44.5,-90.0,bottom
K1,83.0,-4.5,0.0,top
K2,84.0,-24.5,0.0,top
R1,4.0,-16.5,90.0,top
R10,20.16125,-29.41125,90.0,top
R11,17.0,-35.0,180.0,top
R12,29.0,-6.475,-90.0,top
R13,32.5,-6.475,-90.0,top
R14,36.0,-6.475,-90.0,top
R15,28.725,-22.45,0.0,top
R16,29.725,-25.45,-90.0,top
R17,23.725,-25.45,90.0,top
R18,25.5,-6.5,-90.0,top
R19,43.0,-6.525,-90.0,top
R2,4.0,-31.5,-90.0,top
R20,79.5,-9.5,90.0,top
R21,79.7375,-29.25,90.0,top
R22,81.96,-15.5,90.0,top
R23,82.0,-35.25,90.0,top
R24,91.5,-14.0,-90.0,top
R25,91.575,-40.0,-90.0,top
R26,76.25,-5.25,90.0,top
R27,77.25,-25.5,90.0,top
R28,68.5,-7.5,180.0,top
R29,45.25,-11.25,0.0,top
R3,7.0,-31.5,-90.0,top
R30,69.0,-28.0,180.0,top
R31,57.25,-12.25,180.0,top
R4,29.857989,-33.81625,180.0,top
R5,31.75,-23.5,90.0,top
R6,84.5,-40.5,-90.0,top
R7,82.0,-40.5,-90.0,top
R8,39.5,-6.475,90.0,top
R9,20.39125,-38.14125,90.0,top
SW1,6.0,-39.5,90.0,top
SW2,6.0,-8.5,90.0,top
SW3,25.5,-43.5,90.0,top
TP1,11.5,-7.25,0.0,top
TP2,31.5,-13.25,0.0,top
TP3,31.5,-18.0,0.0,top
TP4,63.25,-6.25,0.0,top
TP5,96.0,-19.0,0.0,top
TP6,83.0,-19.5,0.0,top
TP7,72.0,-44.0,0.0,top
TP8,72.25,-5.5,0.0,top
TP9,73.5,-25.5,0.0,top
U1,3.0,-24.0,-90.0,top
U10,51.25,-11.75,0.0,top
U2,63.0,-18.799999,0.0,top
U3,63.75,-39.0,0.0,top
U4,11.38,-11.0,180.0,bottom
U5,11.38,-32.0,180.0,bottom
U6,19.9,-14.5,0.0,top
U7,55.5,-4.5,0.0,top
U8,75.0,-11.0,90.0,top
U9,75.347,-31.225,90.0,top
